lot,ocena
PA/1,72
PA/2,79
PA/3,72
PA/4,73
PA/5,75
PA/6,70
PA/7,82
PA/8,74
PA/9,72
PA/10,71
PA/11,83
PA/12,71
PA/13,84
PA/14,70
PA/15,80
PA/16,80
PA/17,76
PA/18,86
PA/19,67
PA/20,74
PA/21,80
PA/22,75
PA/23,73
PA/24,72
PA/25,79
PA/26,68
PA/27,67
PA/28,67
PA/29,85
PA/30,79
PA/31,80
PA/32,77
PA/33,79
PA/34,73
PA/35,86
PA/36,67
PA/37,76
PA/38,86
PA/39,67
PA/40,72
PA/41,86
PA/42,72
PA/43,68
PA/44,69
PA/45,78
PA/46,80
PA/47,68
PA/48,74
PA/49,69
PA/50,81
PA/51,81
PA/52,76
PA/53,76
PA/54,72
PA/55,72
PA/56,71
PA/57,87
PA/58,85
PA/59,76
PA/60,67
PA/61,78
PA/62,73
PA/63,69
PA/64,84
PA/65,69
PA/66,76
PA/67,80
PA/68,83
PA/69,83
PA/70,75
PA/71,75
PA/72,74
PA/73,87
PA/74,87
PA/75,80
PA/76,73
PA/77,71
PA/78,68
PA/79,78
PA/80,80
PA/81,71
PA/82,70
PA/83,87
PA/84,80
PA/85,68
PA/86,85
PA/87,75
PA/88,78
PA/89,84
PA/90,82
PA/91,87
PA/92,80
PA/93,85
PA/94,82
PA/95,67
PA/96,74
PA/97,75
PA/98,86
PA/99,71
PA/100,71
PA/101,79
PA/102,80
PA/103,85
PA/104,79
PA/105,86
PA/106,79
PA/107,76
PA/108,67
PA/109,69
PA/110,83
PA/111,75
PA/112,79
PA/113,74
PA/114,82
PA/115,78
PA/116,87
PA/117,85
PA/118,81
PA/119,85
PA/120,76
PA/121,75
PA/122,79
PA/123,82
PA/124,83
PA/125,75
PA/126,87
PA/127,86
PA/128,77
PA/129,74
PA/130,73
PA/131,84
PA/132,69
PA/133,77
PA/134,79
PA/135,68
PA/136,87
PA/137,69
PA/138,80
PA/139,68
PA/140,81
PA/141,87
PA/142,86
PA/143,73
PA/144,67
PA/145,70
PA/146,71
PA/147,85
PA/148,68
PA/149,72
PA/150,80
PA/151,80
PA/152,86
PA/153,84
PA/154,86
PA/155,82
